model,accuracy,macro_f1,weighted_f1,f1_差评,f1_好评,precision_差评,precision_好评,recall_差评,recall_好评
textcnn,0.8807783151501518,0.8807465971669892,0.8807468159117007,0.8826914563966357,0.8788017379373427,0.8688453159041394,0.8935131364798884,0.8969860548807917,0.8645669291338582
bigru_attn,0.8903385445956585,0.8903328621507143,0.890332773362512,0.8895434462444771,0.8911222780569514,0.8961424332344213,0.88470066518847,0.8830409356725146,0.8976377952755905
bert,0.902598132943426,0.9025979247084416,0.9025979407265172,0.9027403414195868,0.9024555079972968,0.9015253476895468,0.9036769681930972,0.9039586144849304,0.9012373453318336
roberta,0.9075469575975704,0.9075469470715904,0.9075469435629304,0.9075157515751576,0.9075781425680234,0.9079243583971184,0.9071701505956394,0.9071075123706702,0.9079865016872892
MultinomialNB,0.8387133055899224,0.8386117788735394,0.8386113235967844,0.8345639132441163,0.8426596445029625,0.8567029843675983,0.8224459198971943,0.8135402609086819,0.8638920134983127
LinearSVC,0.8477111685974581,0.8476728584081994,0.8476725867047294,0.8452571428571428,0.850088573959256,0.8592007434944238,0.8369304556354916,0.8317588843904633,0.8636670416197976
XGBoost,0.8767292767967607,0.8767230872103797,0.8767229889629767,0.8758495695514272,0.8775966048693321,0.8822455499771794,0.8713683743623863,0.8695456590193432,0.8839145106861642
